Artista,Nome da Música,Letra da Música
Tarcísio do Acordeon,Cenário de uma Revoada - Ao Vivo,"Eu acordei no quarto escuro Só lembrando os flashes De alguém que fez gostoso E sumiu no mundo Whisky na metade Long Neck esvaziada Esse é o cenário de uma revoada Guardei na mente o sexo proibído Mas o contato dela não ficou comigo Procura-se um amor bandido Saudade Você descendo do salto E partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade Saudade Você descendo do salto E partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade Eu acordei no quarto escuro Só lembrando os flashes De alguém que fez gostoso E sumiu no mundo Whisky na metade Long Neck esvaziada Esse é o cenário de uma revoada Guardei na minha mente o sexo proibído Mas o contato dela não ficou comigo Procura-se um amor bandido Saudade Você descendo do salto E partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade Saudade Você descendo do salto E partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade Saudade Você descendo do salto e partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade Saudade Você descendo do salto E partindo pra sacanagem Cê cheia de tesão Eu cheio de vontade Eu preso no seu quarto É minha liberdade Saudade, saudade, saudade"
Rogerinho,Furduncinho do Rogerinho,"Oh, DJ Aumenta o som aí Vai começar Furduncin' do Rogerin Perdido na putaria Com várias bebezinha Fazendo sacanagem louca Perdido na cachorrada Só cerveja gelada Não tô valendo nada, então joga Oh, balançando Balança, balança esse popô Então joga esse popô, bebê Joga esse popô, neném Joga esse popô, ai, ai, ai, ai Joga esse popô, bebê Joga esse popô, neném Joga esse popô, ai, ai, ai, ai O furduncin' do Rogerin Que vai fazer balançar O furduncin' do Rogerin Que vai fazer balançar E ela pode, pode, pode sentar E ela pode, pode, pode sentar Oh, DJ, oh, DJ Quando eu contar de um até três Elas vão jogar Um, dois, três, joga Só balançando, balançando Balançando o popô Só balançando, balançando Balançando o popô Só balançando, balança Balance o popô Só balançando, balançando Vai, vai, vai, vai, vai, vai Oh, morena gostosa do 085 Tu vai sentar pro puto Ou vai sentar pro putinho? Loira gostosa do 085 Vai sentar pro puto Ou vai sentar pro Dou tapão nessa sua bunda, dou Dou tapão na bunda, dou Dou tapão na bunda, vai Dou tapão nessa sua bunda, dou Dou tapão na bunda, dou Dou tapão na bunda Dou tapão na bunda Eu já tô preparado, beque bolado Tênis da Nike e um cordão Coloquei o melhor perfume pra você, bebê O pai tá bonitão O pai tá cheirosão O pai tá bonitão O pai tá cheirosão E hoje eu só taco, taco, taco Na novinha do bundão Hoje eu só taco, taco, taco Na novinha do bu Hoje eu só taco, taco, taco Na novinha do bun Hoje eu só taco, taco, taco Na novinha do Hoje eu só taco, taco Nesse bundão Hoje eu só taco, taco No seu bundão, bebê Taco, taco Nesse bundão Hoje eu só taco, taco Nesse bundão Furduncin' do Rogerin Meu parceiro, Max Loud CDs Buji do Cavado, o alagoano estourado DJ Denilson"
Forró do HF,Piseiro Tocando Alto,"Olha chegou fim de semana Tá tudo preparado Piseiro e paredão ninguém vai ficar parado Aumenta o som ai Bota o teclado pra voar Essa noite aqui promete Nós vamos cabarezar As mina tudo louca De uísque e Red Bull Piseiro tocando alto E ela mexendo o bumbum Que a farra comece, vamos dançar rodando Piseiro do Raí, elas dança rebolando I'll be with you from dusk till dawn I'll be with you from dusk till dawn E é assim, ó! (Baby, I'm right here) (Essa aqui é mais uma do forró do HF) Olha chegou fim de semana Tá tudo preparado Piseiro e paredão ninguém vai ficar parado Aumenta o som ai Bota o teclado pra voar Essa noite aqui promete Nós vamos cabarezar As mina tudo louca De uísque e Red Bull Piseiro tocando alto E ela mexendo o bumbum Que a farra comece, vamos dançar rodando Piseiro do Negão, elas dança rebolando"
Matheus Fernandes,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,"Vem Vem jogando gostosinho pra mim Já faz um tempo que eu tô a fim Falou que tu me que quer também Oh, não vai ter ninguém pra nos atrapalhar Eu tô solteiro e tu também tá Então chega logo Pra gente se amar Hoje a cama vai tremer A gente vai fazer Só eu e você Altas loucurinhas só pra enlouquecer Hoje a cama vai tremer A gente vai fazer Só eu e você Altas loucurinhas só pra enlouquecer Vem sentando Vem jogando"
Felipe Amorim,Gostosinha é Ela,"Mão no peito que vai começar o hino do after Ai Felipe Amorim Ela tá solteira, mas não tá carente De revoada a novinha entende No bailão ela joga o bumbum (tururururururu) Coração de gelo mas a raba é quente Carinha de baby, mas é indecente Não se apaixona por homem nenhum (tururururururu) Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela Ela tá solteira, mas não tá carente De revoada a novinha entende No bailão ela joga o bumbum (tururururururu) Coração de gelo mas a raba é quente Carinha de baby, mas é indecente Não se apaixona por homem nenhum (tururururururu) Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela Olha a sentadinha dela Muito gostosinha é ela Eu vou até bater palma Para a raba dela"
Leo Santana,Áudio Que Te Entrega,"E tá falando mal de mim Que não vai mais voltar No grupo com as amigas Só faz me difamar Mas tenho salvo aqui todas nossas conversas Os áudios que te entrega Os áudios que te entrega ai ai ai Ai ai amor volta comigo Seu gostoso, seu safado, seu bandido Ai amor volta comigo Seu gostoso, seu safado, seu bandido Oi bota aí o teu gemido Do que eu faço contigo Tu me chamando de gostoso, de safado de bandido Oi bota aí o teu gemido Do que eu faço contigo Tu me chamando de safado, de gostoso de bandido Oi bota aí o seu gemido Do que eu faço contigo Tu me chamando de safado, de gostoso e de bandido"
Zé Vaqueiro,Coladin (Minha Deusa),"Toda vez que eu sinto seu perfume Morro de vontade de fazer amor Quando você me beija, me sinto nas nuvens Tu és uma arte que Deus desenhou Minha deusa Até desarrumada é perfeita Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim Coladin, coladin, coladin Minha deusa Até desarrumada é perfeita Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim Coladin, coladin, coladin"
Felipe Amorim,No Ouvidinho,"Tô me sentindo carente Ô nunca mais tu ligou Bateu saudade da gente No quarto botando o terror Saudade da quicada malvada, da sentada malvada, gostosinha de mais Saudade da tua voz saliente falando indecente Bota vai, bota vai, bota vai Aiaiaiai, eu gosto quando você senta com essa cara de marrenta No ouvidinho você faz aiaiaiai Eu gosto quando você joga com esse olhar de perigosa Tua gemidinha é bom de mais aiaiaiai Eu gosto quando você senta com essa cara de marrenta No ouvidinho você faz aiaiaiai Eu gosto quando você joga com esse olhar de perigosa Tua gemidinha é bom de mais aiaiaiai Tô me sentindo carente Nunca mais tu ligou Ai que saudade da gente No quarto botando o terror Saudade da kikada malvada, da sentada malvada, gostosinha de mais Saudade da tua voz saliente falando indecente Bota vai, bota vai, bota vai Aiaiaiai, eu gosto quando você senta com essa cara de marrenta No ouvidinho você faz aiaiaiai Eu gosto quando você joga com esse olhar de perigosa Tua gemidinha é bom de mais aiaiaiai Eu gosto quando você senta com essa cara de marrenta No ouvidinho você faz aiaiaiai Eu gosto quando você joga com esse olhar de perigosa Tua gemidinha é bom de mais aiaiaiai"
Felipe Amorim,Fode Bem,"Mariana falou pra Juliana Juliana falou pra Rafaela Rafaela que contou pra Ana Que contou pra todas as amigas dela Que aqui a botada é bruta Na socada, igual não tem Bandido mau, mas com carinha de neném Que depois que sentou pro puto Não quer sentar pra ninguém Bandido mau, mas com carinha de neném Ele fode, fode bem, ele fode, fode bem Bandido mau, mas com carinha de neném Fode, fode bem, cê fode, fode bem Bandido mau Fode bem, cê fode, fode bem Bandido mau, mas com carinha de neném Felipe Amorim e MC Mika Mariana falou pra Juliana Juliana falou pra Rafaela Rafaela que contou pra Ana Que contou pra todas as amigas dela Que aqui a botada é bruta Na socada, igual não tem Bandido mau, mas com carinha de neném Que depois que sentou pro puto Não quer sentar pra ninguém Bandido mau, mas com carinha de neném Fode, fode, você fode, fode, fode bem Bandido mau, mas com carinha de neném Badido mau, mas com carinha de neném Badido mau, mas com carinha de neném Fode bem, cê fode, fode bem Badido mau, mas com carinha de neném"
Wesley Safadão,Bem-vinda ao Meu Mundo,"(Eu tenho dependência disso aqui, ó) (Se eu passar um dia longe disso) (É a merma coisa de ter passado uma eternidade) (E não tem quem me faça largar esse vício) (Aqui é onde eu me sinto bem) (Aqui é onde eu sou feliz) Assumo meu jeito matuto, meu estilo bruto Minhas mãos calejadas já explicam tudo Eu sou um vaqueiro e esse é meu mundo (meu mundo) Eu sei que sou mal-educado, bem desajeitado O meu cheiro é do gado, o meu amor é meu cavalo Só ando montado e bem-vinda ao meu mundo (meu mundo) E se a boiada não te incomoda Monta no meu cavalo agora Que tem um mundo pra nós dois lá fora Bem-vinda ao meu mundo Meu jeito é matuto Meu estudo é pouco Mas o meu amor é muito Bem-vinda ao meu mundo De cavalo e boiada Vem ser minha vaqueirinha E viver de vaquejada E viver de vaquejada Assumo meu jeito matuto, meu estilo bruto Minhas mãos calejadas já explicam tudo Eu sou um vaqueiro e esse é meu mundo (meu mundo) Eu sei que sou mal-educado, bem desajeitado O meu cheiro é do gado, o meu amor é meu cavalo Só ando montado e bem-vinda ao meu mundo (meu mundo) Isso é boiada, isso é boiada Oh, e se a boiada não te incomoda E monta no meu cavalo agora Que tem um mundo pra nós dois lá fora (Bem-vinda ao meu mundo) Bem-vinda ao meu mundo Meu jeito é matuto Meu estudo é pouco Mas o meu amor é muito E bem-vinda ao meu mundo De cavalo e boiada Vem ser minha vaqueirinha E viver de vaquejada E viver de vaquejada Bem-vinda ao meu mundo Meu jeito é matuto Meu estudo é pouco Mas o meu amor é muito Bem-vinda ao meu mundo De cavalo e boiada Vem ser minha vaqueirinha E viver de vaquejada"
Forró Boys,Reboladin - O Barulho É Nosso!!!,"Tô chegando no piseiro e a galera animada Com meu copão de whisky, só de rolê na quebrada Só suntando o movimento colado com os mulekin No meio da mulherada só no reboladin Reboladin Reboladin Reboladin Reboladin Vai muleke, vai doidim No meio da mulherada botando para sacudir E as novinhas dando em cima e eu muito louco bebendo, dançando A mulherada tudo louca dando em cima de mim E eu só no swingado mostrando o reboladin"
Felipe Amorim,Faz Teu Nome,"Sinceramente que viagem louca Ela nem esperou hoje sair da minha boca Já veio me falando que eu só quero ela sem roupa Que só ficar pra ela não era o suficiente sinceramente Cê gosta de confusão, eu não Não te prometi amor, eu só zera emoção Com paixão, claro que se tu quiser eu não nego calor Tô com saudade, tá bom Me liga se não é verdade usar o coração Some não, que eu te quero Desculpa que eu sou da rua Da noite, do bolo Faz teu nome, roda aí que eu te espero Vim pra minha cama de novo, de novo, de novo Some não, que eu te quero Desculpa que eu sou da rua Da noite, do bolo Faz teu nome, roda aí que eu te espero Vim pra minha cama de novo, de novo, de novo, de novo Cê sabe que eu sempre te espero, né? Cê roda, cê roda, cê roda Mas sem parar aqui Sinceramente, que viagem louca Ela nem esperou hoje sair da minha boca Já veio me falando que eu só quero ela sem roupa Que só ficar pra ela não era o suficiente Sinceramente Cê gosta de confusão, eu não Não te prometi amor, eu só zera emoção Com paixão, claro que se tu quiser eu não nego calor Tô com saudade, tá bom Liga se não inventar de usar o coração Some não, que eu te quero Desculpa que eu sou da rua Da noite, do bolo faz teu nome, roda aí que eu te espero Vim pra minha cama de novo, de novo, de novo Olha que some não, que eu te quero Desculpa que eu sou da rua Da noite, do bolo Faz teu nome, roda aí que eu te espero Vem pra minha cama de novo, de novo, de novo, de novo"
Kelvy Pablo,Muído de Vaquejada,"Chama as bichinha Vai rolar esquenta no posto de gasolina Cerveja gelada Mais tarde tem muído de vaquejada Boi no chão, forró, mulher, cachaça e som de paredão Pode chamar que tem Curtição, pegar o Sol com a mão Isso é festa de interior Festa de interior Festa de interior Chama as bichinha Vai rolar esquenta no posto de gasolina Cerveja gelada Mais tarde tem muído de vaquejada Boi no chão, forró, mulher, cachaça e som de paredão Pode chamar que tem Curtição, pegar o Sol com a mão Isso é festa de interior Festa de interior Festa de interior"
Kelvy Pablo,Tdah,"Sou aquele cara do tipo esquecido Que esquece tudo em todo lugar Óculos no Uber, carteira no fut Até as minhas contas eu esqueço de pagar Hoje eu acordei com uma ligação inesperada Uma louca me ligando com a voz alterada Minha memória andou dando umas falhada Ontem eu esqueci que eu tinha namorada Amor, calma que eu posso te explicar Tu sabe que eu sou esquecido mesmo Achei que tava solteiro Não sou safado, só tenho TDAH"
Caninana,Ressaca de Saudade,"Visualizei, mas não vou responder Da minha boca não vai ouvir nada Até que eu tinha coisas pra falar Mas vou tomar vergonha nessa cara Você não vale a consideração Nem uma lágrima minha vai ver Vai ser difícil ter o meu perdão Meu coração não pertence a você Da minha vida você não merece saber Mas se o seu telefone tocar Lá pras três ou quatro da manhã Eu não voltei atrás, eu já bebi demais Faça o que sempre fez Não me atenda nenhuma vez Mas se o seu telefone tocar Lá pras três ou quatro da manhã Eu não voltei atrás, eu já bebi demais Faça o que sempre fez Não me atenda nenhuma vez"
Henry Freitas,Alteradão,"Tu lembra da gente no quarto fazendo maldade? Várias posições Vários modos Várias sacanagens E agora tu vira a cara e nega que conhece Por dentro seu corpo sei que tá pedindo repete Do meu rapapá tu não esqueceu Lá no meu QG tua perna tremeu Falava não para, não para Não para malandro Chamava meu vulgo bem alto Gemendo e xingando Baby, já tô alteradão Oi várias caipi de limão Tô quase caindo no chão Mas eu queria mesmo era cair no seu Baby, já tô alteradão Oi várias caipi de limão Tô quase caindo no chão Mas eu queria mesmo era cair no seu A gente no love quente Se pegando até de manhã Seu olho azul virando aí eu virei fã"
